text,clean_text,sentiment,lexicon_score,primary_aspect,is_noise
Response to coustomer service issue ,response to customer service issue,Neutral,0,Customer Service,False
"Price, Quality,etc",price quality etc,Positive,1,Product Quality,False
Customer service quality ,customer service quality,Positive,1,Customer Service,False
Comments ,comments,Neutral,0,General Brand Perception,True
Comments ,comments,Neutral,0,General Brand Perception,True
Mainly by customer reviews ,mainly by customer reviews,Neutral,0,Customer Service,False
Customer support and  product quality ,customer support and product quality,Positive,1,Customer Service,False
to view,to view,Neutral,0,General Brand Perception,True
comments,comments,Neutral,0,General Brand Perception,True
"Customer service responsiveness and
transparency in handling customer feedback",customer service responsiveness and transparency in handling customer feedback,Positive,2,Customer Service,False
"Main reason for positive/negative opinion:
Mostly based on genuine customer reviews and how the brand responds to complaints. If people share good experiences or the brand handles issues well, I trust it more.",main reason for positive negative opinion mostly based on genuine customer reviews and how the brand responds to complaints if people share good experiences or the brand handles issues well i trust it more,Positive,2,Customer Service,False
"Positive reviews, quality, and good customer service.",positive reviews quality and good customer service,Positive,3,Customer Service,False
Comments ,comments,Neutral,0,General Brand Perception,True
"Reasons such as customer reviews, quality and demand.",reasons such as customer reviews quality and demand,Positive,1,Customer Service,False
Negative ,negative,Negative,-1,General Brand Perception,False
Positive ,positive,Positive,1,General Brand Perception,False
"Hm
",hm,Neutral,0,General Brand Perception,True
"Basically comes down to their product and viability.
",basically comes down to their product and viability,Neutral,0,Product Quality,False
"A brand’s product quality, customer reviews, and service can create a positive or negative opinion. Quick and polite responses to complaints also make customers trust the brand.",a brands product quality customer reviews and service can create a positive or negative opinion quick and polite responses to complaints also make customers trust the brand,Positive,3,Customer Service,False
there services towards the customers,there services towards the customers,Neutral,0,General Brand Perception,False
Positive,positive,Positive,1,General Brand Perception,False
"The main reason I develop a positive or negative opinion about a local brand on social media is the quality of their products or services, customer reviews ",the main reason i develop a positive or negative opinion about a local brand on social media is the quality of their products or services customer reviews,Positive,1,Product Quality,False
To focus on customer demand only and give the perfect and good product,to focus on customer demand only and give the perfect and good product,Positive,2,Customer Service,False
